objectid,filename,filename_new,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
chestnut050,savannah-clark.mp3,,Sample Interview One,"Koenig, Nick",2022,Interview with Savannah Clark,,Eastern Kentucky University,37.73823073,-84.29690252,,,record,compound_object,eng,,,transcript,https://cdil.lib.uidaho.edu/chestnut-collective/objects/savannah-clark.mp3,,,,
chestnut051,chestnut051.mp3,,Sample Interview Two,"Koenig, Nick",2022,Interview with Sara Fitzsimmon,,Eastern Kentucky University,37.73823073,-84.29690252,,,record,compound_object,eng,,,transcript,https://cdil.lib.uidaho.edu/chestnut-collective/objects/sara-fitzsimmon.mp3,,,,
